Vannlokalitet_kode,Betegnelse,Aktivitet_id,Oppdragsgiver,Oppdragstaker,Parameter_id,VitenskapligNavn,Provetakmetode_id,Analysemetode_id,Tid_provetak,Listenavn,Provenr,Ant_verdier,Kommentar,source_file,date,year,value,upper_m,lower_m
01.01-101532,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,AFANHAB,Artsuavhengig,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2021-09-27 17:00:00,Nei,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2021-09-27,2021,0,0,0
01.01-101532,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,AFANHAB,Artsuavhengig,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-09 15:00:00,Nei,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-09,2024,0,0,0
01.01-101532,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,AFDYPPYT,Artsuavhengig,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2021-09-27 17:00:00,Nei,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2021-09-27,2021,0,0,0
01.01-101532,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,AFDYPPYT,Artsuavhengig,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-09 15:00:00,Nei,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-09,2024,0,0,0
01.01-101532,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,AFGRUNPYT,Artsuavhengig,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2021-09-27 17:00:00,Nei,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2021-09-27,2021,0,0,0
01.01-101532,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,AFGRUNPYT,Artsuavhengig,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-09 15:00:00,Nei,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-09,2024,0,0,0
01.01-101532,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,AFMINPYT,Artsuavhengig,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2021-09-27 17:00:00,Ja,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2021-09-27,2021,1,0,0
01.01-101532,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,AFMINPYT,Artsuavhengig,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-09 15:00:00,Ja,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-09,2024,1,0,0
01.01-101532,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,AFOVHENG,Artsuavhengig,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2021-09-27 17:00:00,Nei,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2021-09-27,2021,0,0,0
01.01-101532,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,AFOVHENG,Artsuavhengig,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-09 15:00:00,Nei,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-09,2024,0,0,0
01.01-101532,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,AFSTORHUL,Artsuavhengig,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2021-09-27 17:00:00,Nei,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2021-09-27,2021,0,0,0
01.01-101532,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,AFSTORHUL,Artsuavhengig,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-09 15:00:00,Nei,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-09,2024,0,0,0
01.01-101532,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,AFSTORPYT,Artsuavhengig,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2021-09-27 17:00:00,Nei,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2021-09-27,2021,0,0,0
01.01-101532,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,AFSTORPYT,Artsuavhengig,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2024-09-09 15:00:00,Nei,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2024-09-09,2024,0,0,0
01.01-101532,,YOFJ,Fagrådet for Ytre Oslofjord,NIVA,BFISKUR,Artsuavhengig,NS-EN ISO 19493:2007 SO,NS-EN ISO 19493:2007,2021-09-27 17:00:00,Nei,,1,,vm_ytre_oslofjord_2021-2024.xlsx,2021-09-27,2021,0,0,0
